EnsemblIDs,A549,BJ,Caco2,Hep2G,RT4,SK-Mel24,SK-Mel28,U2-OS,U251,Gene.name
ENSG00000000003,60.370497,18.145395,129.824812,22.768494,195.565627,15.372936,32.220525,57.34428,17.806076,TSPAN6
ENSG00000000005,0,0,0.142804,0.0184507,0,0,0,0,0,TNMD
ENSG00000000419,67.92555,35.17129,174.9905759,9.298658,63.07154,73.312888,100.49865,120.4097517,88.3188499,DPM1
ENSG00000000457,5.858511217,4.331547,3.706517,0.657239608,4.737608,5.475154,6.005290881,4.09851,4.631656,SCYL3
ENSG00000000460,8.0316418,2.39217,6.6283343,0.232551,7.40913,6.011951,10.961986,18.643537,9.062179,C1orf112
ENSG00000000938,0,0,0,0,0.578123032,0.0121183,0.0211429,0,0.1081394,FGR
ENSG00000000971,111.1154618,16.90067,0,0,190.437855,17.96022,0.1045356,0.444613,0.977839,CFH
ENSG00000001036,64.428514,75.947279,84.91289,29.307247,47.188931,56.762298,75.353869,61.629008,106.85421,FUCA2
ENSG00000001084,117.058164,4.7566075,18.849914,1.903422,61.5668422,13.882047,15.481437,34.793359,19.0841823,GCLC
ENSG00000001167,16.24136,8.467645,11.54166,2.7366428,23.87398,27.02088,20.70814,46.15782,29.78095,NFYA
ENSG00000001460,6.220529,5.7179921,2.9678734,0.720526,2.713281,8.0026066,12.555445,5.6475052,4.0010684,STPG1
ENSG00000001461,13.7070049,35.6752318,3.264484,1.7441132,5.7796362,64.694795,71.510571,6.6856838,13.0813531,NIPAL3
ENSG00000001497,65.465884,19.95768,35.675416,10.052607,23.021909,31.59776,30.9481932,71.8702456,33.146121,LAS1L
ENSG00000001561,0.681365,0.980619,1.20868,0.00238903,0.925553,1.27473,0.321953,9.23532,10.152,ENPP4
ENSG00000001617,9.475207,9.4428684,5.412738185,3.722254,48.55677921,0.12463292,0.15327705,34.9967966,4.65381,SEMA3F
ENSG00000001626,1.23835,0,29.57338,0,0,0,0,0.00313861,0.00461737,CFTR
ENSG00000001629,21.002235,15.3752,10.0691,1.04795,14.8969,36.2683,17.1057,47.4732,22.0018,ANKIB1
ENSG00000001630,52.0011,21.85546,79.699492,19.5969111,86.7988424,131.691368,76.51725,69.213056,46.1924799,CYP51A1
ENSG00000001631,13.86506035,9.6071984,8.998207,0.180284,9.5958367,38.22746059,19.3944019,28.168009,16.871376,KRIT1
ENSG00000002016,7.2064363,2.5049625,5.4610465,1.0511532,3.6511883,4.6340187,3.3015459,10.929569,4.9004885,RAD52
ENSG00000002330,47.740087,45.847822,33.719959,5.7925944,50.370088,67.190314,14.903803,41.636412,38.508534,BAD
ENSG00000002549,34.381906,40.56101308,31.66895,3.45326,35.80183159,44.528059,49.646142,46.553518,70.46450716,LAP3
ENSG00000002586,252.8530098,966.7501683,387.248466,102.3064468,155.3063362,641.856606,393.414437,98.4414478,237.321131,CD99
ENSG00000002587,1.05056,0.0107185,0.305163,0.0137535,6.026209,0.035929,0.172427,0.0190035,0.263572,HS3ST1
ENSG00000002726,0.09421429,0.0194398,7.075190005,0,0.0153994,0.04771858,0.0348448,0.091412802,0.0523805,AOC1
ENSG00000002745,0,0.0142596,0.0395938,0,0.0114502,0.423769,0,0.00635149,0.1322788,WNT16
ENSG00000002746,2.721214,1.119412,0.00426963,0.21505,0.14165019,0.0218508,0.05674958,0.5235485,0.1315833,HECW1
ENSG00000002822,11.185664,13.828222,15.037926,15.8781141,10.1724839,32.3762534,116.5858483,42.5757814,20.5655378,MAD1L1
ENSG00000002834,332.538943,337.161054,74.445381,57.5834199,141.557001,163.851405,76.563888,180.712581,131.5515813,LASP1
ENSG00000002919,24.8962,18.0697327,30.721132,3.102771,14.679308,22.047908,18.235768,21.086698,21.0537,SNX11
ENSG00000002933,0.1470479,0,10.557133,0,0,0,0,5.492167,0,TMEM176A
ENSG00000003056,141.027901,62.87338905,109.332289,22.8913716,117.13744,124.044265,155.93347,158.214612,118.893972,M6PR
ENSG00000003096,0.87065276,0.442114049,6.13258132,0.092385129,2.621721408,4.247069712,2.837761389,4.536732,8.926349473,KLHL13
ENSG00000003137,5.0329955,2.2374278,0.3506824,0,0.5238252,0.3549979,0.0800647,11.237791,1.886578,CYP26B1
ENSG00000003147,3.91619571,0.136661684,1.861214,0.424699,43.146166,6.4345847,9.985682,1.5737888,3.356004,ICA1
ENSG00000003249,23.675306,7.96347315,21.269309,15.5592968,6.954220395,14.884092,11.24816644,16.60981049,34.25216497,DBNDD1
ENSG00000003393,7.986756,13.023316,12.025497,1.580475,9.005165,18.048258,17.395222,13.44623,8.805054,ALS2
ENSG00000003400,2.5953026,1.0465469,2.0835795,2.4106743,4.0534507,0.4134596,2.015604,0.5752333,0.0960221,CASP10
ENSG00000003402,33.666635,24.51385,16.638667,5.40192385,17.7422165,31.807879,24.837089,31.5544535,15.463012,CFLAR
ENSG00000003436,88.6955076,43.392215,5.3465246,188.6021672,0.9771627,87.006493,12.8718778,32.689756,11.856082,TFPI
ENSG00000003509,14.711305,6.59174,18.3793524,5.44685,8.081144,10.237606,14.233479,16.71826,11.076473,NDUFAF7
ENSG00000003756,23.113563,28.203996,17.7064619,2.4557104,24.82184,34.923909,37.025381,45.490813,37.17995,RBM5
ENSG00000003987,0.7366355,0.7169766,0.4635332,0.09035666,1.4605406,0.251519,0.2277661,0.14362,0.6259184,MTMR7
ENSG00000003989,4.256128719,0.02824199,10.89893703,2.72492258,23.25468524,0.530351096,9.5973976,8.558151,0.027705102,SLC7A2
ENSG00000004059,120.794172,130.338576,152.614325,62.0908,139.999081,250.638745,57.14839,90.718613,115.605349,ARF5
ENSG00000004139,1.674279,2.209676,4.01615,0.119092,1.267995,2.254404,1.449564,0.231612,2.892654,SARM1
ENSG00000004142,168.897,87.9582,303.540384,32.4938,85.6434,119.987733,82.726225,78.205619,162.025,POLDIP2
ENSG00000004399,51.081146,99.89552,16.941719,22.539251,2.359035,20.829665,3.78506,44.090732,53.412642,PLXND1
ENSG00000004455,126.5666285,102.138426,233.581038,35.8069013,165.01092,191.910722,365.322898,168.313838,222.20301,AK2
ENSG00000004468,6.176817,0.0190667,0.00481961,0.0155929,0.0522303,0.1986343,0.017518,0.0545298,0.0416317,CD38
ENSG00000004478,115.314182,30.114,69.52831,13.0275941,71.418224,63.644354,57.05526,187.467405,135.292634,FKBP4
ENSG00000004487,60.18498,50.96712,50.3093,18.028114,68.76866,61.59021,123.74847,103.24987,62.61718,KDM1A
ENSG00000004534,14.198152,15.222427,22.18452394,6.258422,21.120496,8.827336,19.659714,34.077259,29.85949,RBM6
ENSG00000004660,8.396334,2.461933,2.7897926,0.2023024,2.63610594,1.2630222,1.412598,8.214423008,2.075234963,CAMKK1
ENSG00000004700,57.092424,25.371108,21.003002,0.969459,15.179325,53.31748,60.959661,69.716108,65.961486,RECQL
ENSG00000004766,11.943456,9.314011,9.092364,0.6141629,8.740575,26.592669,18.145476,21.955965,14.932996,VPS50
ENSG00000004776,0.49276,130.199263,0.451363,0.368072,0.0475655,0.0709793,0.0923419,0.679254,0.507616,HSPB6
