	A549 P3	A549 P4	A549 P6	BJ P5	BJ P6	BJ P8	Caco2 P7	Caco2 P8	Caco2 P9	Hep2G P4	Hep2G P5	Hep2G P7	RT4 P4	RT4 P6	RT4 P7	SK-Mel 24 P10	SK-Mel 24 P8	SK-Mel 24 P9	SK-Mel 28 P10	SK-Mel 28 P8	SK-Mel 28 P9	U2-OS P5	U2-OS P6	U2-OS P7	U251 P4	U251 P5	U251 P6
ENSG00000000003	73.0884	56.3365	47.4302	19.2894	20.1813	14.8649	151.0843	102.4944	121.0637	10.4629	37.4975	27.5466	195.4182	171.0355	208.7356	15.2912	16.1226	15.3079	30.8572	30.8502	33.0151	49.7057	63.9089	58.2988	17.1292	18.759	16.9375
ENSG00000000005	0	0	0	0	0	0	0.16008	0.1248	0.12998	0	0	0.068886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000419	77.378	63.1412	60.8401	36.5229	36.7966	32.1732	190.129	137.4094	185.6332	7.5093	13.4661	7.8111	67.4521	59.2532	60.3952	68.7481	62.1782	84.9698	94.4	86.3422	112.3257	145.1953	119.466	95.6141	71.0437	103.8482	83.9881
ENSG00000000457	6.9347	5.7381	4.3318	4.3168	4.9727	3.9299	4.2488	2.2501	4.4142	0.71352	0.56357	0.53914	5.4527	6.4477	3.1899	5.092	4.8079	6.3556	6.0799	5.7581	5.7844	3.8662	3.9693	4.4027	3.7425	5.1524	4.6202
ENSG00000000460	7.4797	8.8618	7.6319	0.96343	1.3441	5.3513	7.4296	5.8879	6.0944	0.48528	0.27383	1.5722e-10	11.1757	5.563	4.4648	5.0683	3.0595	9.2522	9.6998	9.9286	12.2032	20.5576	20.3894	14.7331	6.7021	11.188	8.18
ENSG00000000938	0	0	0	0	0	0	0	0	0	0	0	0	0.30504	1.0441	0.67622	0.040991	0	0	0	0.046605	0.027815	0	0	0	0.13279	0.17706	0.037817
ENSG00000000971	175.5981	87.8729	48.9153	16.049	21.0417	13.8622	0	0.053459	0	0	0	0	169.2726	213.6919	198.8709	15.5531	18.0357	19.9783	0.16927	0	0.0975	0.14524	0.80784	0.37159	1.2102	0.8906	0.87755
ENSG00000001036	76.2122	60.7334	52.3811	71.8554	73.944	90.8309	82.3798	84.2498	87.4454	12.1272	42.9155	43.3667	50.0848	52.6549	41.2201	59.5573	51.3771	59.6957	76.0161	71.1826	73.5486	56.1393	68.127	60.443	85.4848	119.5015	107.2425
ENSG00000001084	121.473	118.4083	106.9339	5.0061	4.9108	5.7777	23.2139	10.3063	21.6842	1.4297	2.9541	1.7464	67.2599	76.7111	54.4951	15.89	14.5396	11.6208	14.318	17.3319	16.0108	38.3304	31.3476	33.7759	15.291	23.0415	17.9439
ENSG00000001167	15.8695	16.4809	16.5048	8.0459	6.7312	12.4573	11.1383	8.5577	15.3028	1.1037	4.724	3.4039	29.0359	26.6586	17.6686	27.1401	25.7519	28.4809	18.8507	19.4652	22.5065	52.9922	43.132	41.5784	25.4842	33.3342	28.6077
