"ENSG"	"Gene"	"Uniprot"	"Majority.protein.IDs"
"1"	"ENSG00000184895"	"SRY"	"Q05066"	NA
"2"	"ENSG00000129824"	"RPS4Y1"	"P22090"	"P22090"
"3"	"ENSG00000067646"	"ZFY"	"P08048"	"P17010-2;P17010;P17010-3;P08048-2;P08048-3;P08048"
"4"	"ENSG00000176679"	"TGIF2LY"	"Q8IUE0"	NA
"5"	"ENSG00000099715"	"PCDH11Y"	"Q9BZA8"	NA
"6"	"ENSG00000168757"	"TSPY2"	"A6NKD2"	NA
"7"	"ENSG00000099721"	"AMELY"	"Q99218"	NA
"8"	"ENSG00000092377"	"TBL1Y"	"Q9BQ87"	NA
"9"	"ENSG00000233803"	"TSPY4"	"P0CV99;P0CW01"	NA
"10"	"ENSG00000229549"	"TSPY8"	"P0CW00"	NA
"11"	"ENSG00000228927"	"TSPY3"	"P0CV98"	NA
"12"	"ENSG00000258992"	"TSPY1"	"Q01534"	NA
"13"	"ENSG00000236424"	"TSPY10"	""	NA
"14"	"ENSG00000114374"	"USP9Y"	"O00507"	NA
"15"	"ENSG00000067048"	"DDX3Y"	"O15523"	"O15523;O15523-2"
"16"	"ENSG00000183878"	"UTY"	"O14607"	NA
"17"	"ENSG00000154620"	"TMSB4Y"	"O14604"	NA
"18"	"ENSG00000129864"	"VCY"	"O14598"	"O14598"
"19"	"ENSG00000129862"	"VCY1B"	"O14598"	NA
"20"	"ENSG00000165246"	"NLGN4Y"	"Q8NFZ3"	NA
"21"	"ENSG00000129873"	"CDY2B"	"Q9Y6F7"	NA
"22"	"ENSG00000182415"	"CDY2A"	"Q9Y6F7"	NA
"23"	"ENSG00000172468"	"HSFY1"	"Q96LI6"	NA
"24"	"ENSG00000169953"	"HSFY2"	"Q96LI6"	NA
"25"	"ENSG00000012817"	"KDM5D"	"Q9BY66"	NA
"26"	"ENSG00000198692"	"EIF1AY"	"O14602"	NA
"27"	"ENSG00000280969"	"RPS4Y2"	"Q8TD47"	NA
"28"	"ENSG00000183146"	"PRORY"	"Q9H606"	NA
"29"	"ENSG00000242875"	"RBMY1B"	"A6NDE4"	NA
"30"	"ENSG00000234414"	"RBMY1A1"	"P0DJD3"	NA
"31"	"ENSG00000244395"	"RBMY1D"	"P0C7P1"	NA
"32"	"ENSG00000242389"	"RBMY1E"	"A6NEQ0"	NA
"33"	"ENSG00000169807"	"PRY2"	"O14603"	NA
"34"	"ENSG00000169800"	"RBMY1F"	"Q15415"	NA
"35"	"ENSG00000226941"	"RBMY1J"	"Q15415"	NA
"36"	"ENSG00000169789"	"PRY"	"O14603"	NA
"37"	"ENSG00000183753"	"BPY2"	"O14599"	NA
"38"	"ENSG00000188120"	"DAZ1"	"Q9NQZ3"	NA
"39"	"ENSG00000205944"	"DAZ2"	"Q13117"	NA
"40"	"ENSG00000172352"	"CDY1B"	"Q9Y6F8"	NA
"41"	"ENSG00000183795"	"BPY2B"	"O14599"	NA
"42"	"ENSG00000187191"	"DAZ3"	"Q9NR90"	NA
"43"	"ENSG00000205916"	"DAZ4"	"Q86SG3"	NA
"44"	"ENSG00000185894"	"BPY2C"	"O14599"	NA
"45"	"ENSG00000172288"	"CDY1"	"Q9Y6F8"	NA
"46"	"ENSG00000178591"	"DEFB125"	"Q8N687"	NA
"47"	"ENSG00000125788"	"DEFB126"	"Q9BYW3"	NA
"48"	"ENSG00000088782"	"DEFB127"	"Q9H1M4"	NA
"49"	"ENSG00000185982"	"DEFB128"	"Q7Z7B8"	NA
"50"	"ENSG00000125903"	"DEFB129"	"Q9H1M3"	NA
"51"	"ENSG00000186458"	"DEFB132"	"Q7Z7B7"	NA
"52"	"ENSG00000196476"	"C20orf96"	"Q9NUD7"	NA
"53"	"ENSG00000247315"	"ZCCHC3"	"Q9NUD5"	"Q9NUD5-2;Q9NUD5"
"54"	"ENSG00000177732"	"SOX12"	"O15370"	"O15370"
"55"	"ENSG00000125841"	"NRSN2"	"Q9GZP1"	"Q9GZP1"
"56"	"ENSG00000101255"	"TRIB3"	"Q96RU7"	NA
"57"	"ENSG00000125826"	"RBCK1"	"Q9BYM8"	"Q9BYM8;Q9BYM8-3"
"58"	"ENSG00000125875"	"TBC1D20"	"Q96BZ9"	NA
"59"	"ENSG00000101266"	"CSNK2A1"	"P68400"	"P68400;Q8NEV1;P68400-2"
"60"	"ENSG00000125878"	"TCF15"	"Q12870"	NA
"61"	"ENSG00000271303"	"SRXN1"	"Q9BYN0"	"Q9BYN0"
"62"	"ENSG00000270299"	"RP5-850E9.3"	""	NA
"63"	"ENSG00000215397"	"SCRT2"	"Q9NQ03"	NA
"64"	"ENSG00000101276"	"SLC52A3"	"Q9NQ40"	NA
"65"	"ENSG00000125898"	"FAM110A"	"Q9BQ89"	NA
"66"	"ENSG00000101280"	"ANGPT4"	"Q9Y264"	NA
"67"	"ENSG00000101282"	"RSPO4"	"Q2I0M5"	NA
